Calculating heatmap for κ = 0.3 MHz
Progress: 218/231 (input power: -10 dB, target frequency: -6.0 MHz)
Progress: 219/231 (input power: -10 dB, target frequency: -4.0 MHz)
Progress: 220/231 (input power: -10 dB, target frequency: -2.0 MHz)
Progress: 221/231 (input power: -10 dB, target frequency: 0.0 MHz)
Progress: 222/231 (input power: -10 dB, target frequency: 2.0 MHz)
Progress: 223/231 (input power: -10 dB, target frequency: 4.0 MHz)
Progress: 224/231 (input power: -10 dB, target frequency: 6.0 MHz)
Progress: 225/231 (input power: -10 dB, target frequency: 8.0 MHz)
Progress: 226/231 (input power: -10 dB, target frequency: 10.0 MHz)
Progress: 227/231 (input power: -10 dB, target frequency: 12.0 MHz)
Progress: 228/231 (input power: -10 dB, target frequency: 14.0 MHz)
Progress: 229/231 (input power: -10 dB, target frequency: 16.0 MHz)
Progress: 230/231 (input power: -10 dB, target frequency: 18.0 MHz)
Progress: 231/231 (input power: -10 dB, target frequency: 20.0 MHz)
Results saved to:
  ./diss_rate_results/rabi_sweep_kappa_0.3MHz_2025-10-20T19-32-05.npz
  ./diss_rate_results/rabi_sweep_kappa_0.3MHz_2025-10-20T19-32-05.pkl
